pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
15828,msedgewebview2.exe,2023-05-23 09:18:39,16,0.0,running,32,14.336,35,DESKTOP-ML12QO1\shell
15936,chrome.exe,2023-05-23 13:08:26,16,0.0,running,64,1.204224,22,DESKTOP-ML12QO1\shell
16128,BrCcUxSys.exe,2023-05-23 09:18:40,16,0.0,running,32,0.131072,1,DESKTOP-ML12QO1\shell
16144,msedgewebview2.exe,2023-05-23 09:23:23,16,0.0,running,64,0.065536,31,DESKTOP-ML12QO1\shell
16256,chrome.exe,2023-05-23 09:50:42,16,0.0,running,32,1.765376,9,DESKTOP-ML12QO1\shell
16472,GameBarFTServer.exe,2023-05-23 09:48:07,16,0.0,running,32,0.516096,2,DESKTOP-ML12QO1\shell
16608,chrome.exe,2023-05-23 13:08:24,16,0.0,running,64,1.159168,22,DESKTOP-ML12QO1\shell
16756,svchost.exe,2023-05-23 09:18:43,0,0.0,running,0,0.0,8,N/A
16800,ROCCAT_dev_service.exe,2023-05-23 09:18:42,16,0.0,running,128,0.0,1,DESKTOP-ML12QO1\shell
16808,chrome.exe,2023-05-23 13:08:25,16,0.0,running,64,1.286144,21,DESKTOP-ML12QO1\shell
16844,CCleaner64.exe,2023-05-23 09:18:42,16,0.0,running,32,0.0,17,DESKTOP-ML12QO1\shell
16968,steamwebhelper.exe,2023-05-23 09:18:42,16,0.0,running,32768,7.122944,18,DESKTOP-ML12QO1\shell
16980,steamwebhelper.exe,2023-05-23 09:18:42,16,0.0,running,32,1.785856,18,DESKTOP-ML12QO1\shell
16992,steamwebhelper.exe,2023-05-23 09:18:42,16,0.0,running,32,1.712128,18,DESKTOP-ML12QO1\shell
17328,svchost.exe,2023-05-23 09:19:28,0,0.0,running,0,0.0,12,N/A
17420,SDXHelper.exe,2023-05-23 09:33:22,16,0.0,running,32,2.285568,15,DESKTOP-ML12QO1\shell
17516,msedgewebview2.exe,2023-05-23 09:23:23,16,0.0,running,32,0.016384,10,DESKTOP-ML12QO1\shell
17540,ShellExperienceHost.exe,2023-05-23 09:18:57,16,0.0,stopped,32,52.006912,29,DESKTOP-ML12QO1\shell
17652,RuntimeBroker.exe,2023-05-23 09:18:57,16,0.0,running,32,1.896448,8,DESKTOP-ML12QO1\shell
17800,chrome.exe,2023-05-23 10:15:06,16,0.0,running,64,19.5584,27,DESKTOP-ML12QO1\shell
17920,Code.exe,2023-05-23 16:30:19,16,0.0,running,32,22.802432,22,DESKTOP-ML12QO1\shell
17948,GameBar.exe,2023-05-23 09:48:07,16,0.0,stopped,32,0.106496,12,DESKTOP-ML12QO1\shell
18000,WINWORD.EXE,2023-05-23 09:57:05,16,0.0,running,32,23.79776,41,DESKTOP-ML12QO1\shell
18040,chrome.exe,2023-05-23 09:50:40,16,0.0,running,64,1.015808,21,DESKTOP-ML12QO1\shell
18056,chrome.exe,2023-05-23 13:08:24,16,0.0,running,64,0.9216,21,DESKTOP-ML12QO1\shell
18208,SystemSettings.exe,2023-05-23 09:19:27,16,0.0,stopped,32,0.016384,28,DESKTOP-ML12QO1\shell
18296,chrome.exe,2023-05-23 13:08:24,16,0.0,running,64,0.933888,21,DESKTOP-ML12QO1\shell
18392,chrome.exe,2023-05-23 09:50:49,16,0.0,running,64,28.921856,27,DESKTOP-ML12QO1\shell
18648,Code.exe,2023-05-23 16:30:22,16,0.0,running,32,56.766464,15,DESKTOP-ML12QO1\shell
18876,powershell.exe,2023-05-23 16:30:25,16,0.0,running,32,22.966272,26,DESKTOP-ML12QO1\shell
18976,conhost.exe,2023-05-23 16:30:22,16,0.0,running,32,5.066752,3,DESKTOP-ML12QO1\shell
19432,SearchProtocolHost.exe,2023-05-23 16:30:25,0,0.0,running,0,0.0,10,N/A
19496,smartscreen.exe,2023-05-23 16:30:18,16,0.0,running,32,1.503232,7,DESKTOP-ML12QO1\shell
19516,python.exe,2023-05-23 16:30:22,16,0.0,running,32,24.076288,7,DESKTOP-ML12QO1\shell
19604,PhoneExperienceHost.exe,2023-05-23 11:47:37,16,0.0,running,32,3.42016,23,DESKTOP-ML12QO1\shell
19684,chrome.exe,2023-05-23 13:08:23,16,0.0,running,64,1.155072,22,DESKTOP-ML12QO1\shell
19704,svchost.exe,2023-05-23 16:30:21,0,0.0,running,0,0.0,9,N/A
20204,Code.exe,2023-05-23 16:30:19,16,0.0,running,32,223.232,23,DESKTOP-ML12QO1\shell
20264,Code.exe,2023-05-23 16:30:21,16,0.0,running,32,13.058048,11,DESKTOP-ML12QO1\shell
20384,chrome.exe,2023-05-23 13:15:58,16,0.0,running,64,14.934016,27,DESKTOP-ML12QO1\shell
20504,Code.exe,2023-05-23 16:30:19,16,0.0,running,32,70.197248,22,DESKTOP-ML12QO1\shell
20584,Code.exe,2023-05-23 16:30:25,16,0.0,running,32,651.288576,18,DESKTOP-ML12QO1\shell
20772,Code.exe,2023-05-23 16:30:20,16,0.0,running,32,27.348992,20,DESKTOP-ML12QO1\shell
20880,Code.exe,2023-05-23 16:30:18,16,0.0,running,32768,60.583936,36,DESKTOP-ML12QO1\shell
20920,chrome.exe,2023-05-23 13:08:23,16,0.0,running,64,0.966656,21,DESKTOP-ML12QO1\shell
21052,chrome.exe,2023-05-23 13:08:25,16,0.0,running,64,0.905216,21,DESKTOP-ML12QO1\shell
21200,Code.exe,2023-05-23 16:30:18,16,0.0,running,32,6.299648,21,DESKTOP-ML12QO1\shell
21328,python.exe,2023-05-23 16:30:30,16,0.0,running,32,36.777984,19,DESKTOP-ML12QO1\shell
21452,conhost.exe,2023-05-23 16:30:30,16,0.0,running,32,0.888832,7,DESKTOP-ML12QO1\shell
21552,svchost.exe,2023-05-23 16:30:24,0,0.0,running,0,0.0,16,N/A
22356,chrome.exe,2023-05-23 15:50:28,16,0.0,running,64,70.590464,29,DESKTOP-ML12QO1\shell
22392,Code.exe,2023-05-23 16:30:18,16,0.0,running,32,157.605888,32,DESKTOP-ML12QO1\shell
22452,chrome.exe,2023-05-23 13:55:33,16,0.0,running,64,0.958464,22,DESKTOP-ML12QO1\shell
22568,powershell.exe,2023-05-23 16:30:30,16,0.0,running,32,23.04,26,DESKTOP-ML12QO1\shell
22808,splwow64.exe,2023-05-23 16:01:59,16,0.0,running,32,2.27328,5,DESKTOP-ML12QO1\shell
23360,svchost.exe,2023-05-23 16:28:15,0,0.0,running,0,0.0,4,N/A
